Miasto;Data
MALBORK;2016-01-23
LEBORK;2010-03-19
KWIDZYN;2010-11-19
WALCZ;2011-11-25
NAKLO NAD NOTECIA;2012-03-09
CHODZIEZ;2016-06-24
BYTOW;2012-08-17
CHELMNO;2012-12-14
KOSCIERZYNA;2016-02-12
SZCZECINEK;2013-06-21
GOLENIOW;2013-07-26
SZCZYTNO;2013-08-24
NOWA SOL;2013-11-30
GDANSK;2014-02-01
KOLO;2015-02-28
PULTUSK;2015-03-21
KOSCIAN;2015-04-24
GLOWNO;2015-05-22
WLADYSLAWOWO;2015-06-27
KOSTRZYN NAD ODRA;2015-07-17
BRANIEWO;2015-08-14
CZARNKOW;2015-10-13
MIEDZYRZECZ;2015-09-25
SKIERNIEWICE;2017-11-16
SLUBICE;2015-11-27
OBORNIKI;2016-01-28
ZAWIERCIE;2016-02-20
MAKOW MAZOWIECKI;2016-04-22
DRAWSKO POMORSKIE;2016-05-20
CHOSZCZNO;2016-06-17
PAJECZNO;2016-07-15
SWIDNICA;2016-08-26
BRZESKO;2016-10-14
NOWY DWOR MAZOWIECKI;2016-11-12
SREM;2017-03-03
TUCHOLA;2017-03-31
KARTUZY;2017-06-03
BRZEZINY;2017-07-15
CHOJNOW;2017-08-05
NISKO;2017-08-17
KETY;2017-10-05
BIALA PODLASKA;2017-11-14
TRZCIANKA;2017-11-30
GRAJEWO;2017-11-30
STRZELCE OPOLSKIE;2018-02-14
GNIEZNO;2018-04-05
OZORKOW;2018-07-05
TRZEBNICA;2018-08-16
ZARY;2018-10-03
CZLUCHOW;2018-10-23
LOWICZ;2018-10-25
JAWORZNO;2019-02-28
PLONSK;2019-04-11
RAWICZ;2019-06-13
GUBIN;2019-09-14
GOSTYNIN;2019-10-09
LOBEZ;2019-11-14
ZLOCIENIEC;2019-11-30
BIELAWA;2020-01-10
OLECKO;2019-12-14
GOSTYN;2019-12-19
KUTNO;2020-02-28
NOWOGARD;2020-04-14
CHELM;2020-05-04
MYSLIBORZ;2020-04-14
STRZELCE KRAJENSKIE;2020-05-14
BARTOSZYCE;2020-05-14
OPINOGORA GORNA (CIECHANOW);2020-06-12
JASTRZEBIE ZDROJ;2020-06-15
JASLO;2020-07-15
RACIBORZ;2020-07-25
MYSLENICE;2020-08-26
ZORY;2020-10-22
SIERADZ;2020-10-22
MLAWA;2020-11-28
BARLINEK;2020-11-28
SKARZYSKO-KAMIENNA;2020-11-28
PULAWY;2020-12-17
BUSKO-ZDROJ;2021-02-02
CIESZYN;2021-02-24
PRZEMYSL;2021-03-10
KEDZIERZYN-KOZLE;2021-03-17
LIDZBARK WARMINSKI;2021-03-26
STALOWA WOLA;2021-05-04
PISZ;2021-04-17
JEDRZEJOW;2021-05-13
LIPIENICE (CHOJNICE);2021-05-21
ELK;2021-05-28
OSTROLEKA;2021-06-30
TYCHY;2021-07-01
KAMIENNA GORA;2021-07-17
ZABRZE;2021-08-21
ZGORZELEC;2021-08-28
TARNOW;2021-09-04
OSTROWIEC SWIETOKRZYSKI;2021-09-08
